Num,LeetCode Problem,Topic,Video Explanation,Difficulty,Solved?,Last Solved Date,Number of times,Notes
31,Find Minimum In Rotated Sorted Array,Binary Search,https://www.youtube.com/watch?v=Dr69TSfv9JI,Medium,Yes,2024-07-06,2,
51,Subtree of Another Tree,Trees,https://www.youtube.com/watch?v=YOW_-ptARNE,Easy,Yes,2024-06-25,1,
57,Kth Smallest Element In a Bst,Trees,https://www.youtube.com/watch?v=tAUB05a6ys4,Medium,Yes,2024-06-25,1,
58,Lowest Common Ancestor Of A Binary Tree,Trees,,Medium,Yes,2024-06-25,1,
48,Diameter of Binary Tree,Trees,https://www.youtube.com/watch?v=DpyCkHMlxLc,Easy,Yes,2024-06-22,1,
54,Binary Tree Right Side View,Trees,https://www.youtube.com/watch?v=4lMY-g0Afg8,Medium,No,,,
55,Count Good Nodes In Binary Tree,Trees,https://www.youtube.com/watch?v=AiCPoU8q2sU,Medium,No,,,
59,Binary Tree Maximum Path Sum,Trees,https://www.youtube.com/watch?v=6wv9yMSenvQ,Hard,Yes,2024-06-22,1,
122,Maximum Subarray,Greedy,https://www.youtube.com/watch?v=nr2djEYM7_A,Medium,Yes,2024-06-22,1,
123,Path Sum III,Trees,,Easy,Yes,2024-06-22,1,
49,Balanced Binary Tree,Trees,https://www.youtube.com/watch?v=gu5rAEvm9Fk,Easy,Yes,2024-06-21,1,
60,Serialize And Deserialize Binary Tree,Trees,https://www.youtube.com/watch?v=vqbpTOU-LS4,Hard,No,,,
61,Implement Trie Prefix Tree,Tries,https://www.youtube.com/watch?v=nLTqtBLhPbQ,Medium,No,,,
62,Design Add And Search Words Data Structure,Tries,https://www.youtube.com/watch?v=Z7Kr2b4d9fE,Medium,No,,,
63,Word Search II,Tries,https://www.youtube.com/watch?v=8K2Sh9ingJA,Hard,No,,,
64,Kth Largest Element In a Stream,Heap / Priority Queue,https://www.youtube.com/watch?v=i7Mt70QERw4,Easy,No,,,
65,Last Stone Weight,Heap / Priority Queue,https://www.youtube.com/watch?v=xq4RoS0vVfM,Easy,No,,,
66,K Closest Points to Origin,Heap / Priority Queue,https://www.youtube.com/watch?v=RLyF_-4Izg0,Medium,No,,,
67,Kth Largest Element In An Array,Heap / Priority Queue,https://www.youtube.com/watch?v=kmUL7CAOSwc,Medium,No,,,
68,Task Scheduler,Heap / Priority Queue,https://www.youtube.com/watch?v=IcjlqToRGWI,Medium,No,,,
